Scaling up no tillage cropping,agricultureno tilage
Solar heater - residential,Aquecedor Solar
Air conditioning (MEPS),Ar Condicionado 
Bullet train: Sao Paulo and Rio de Janeiro,Bullet train Sao Paulo and Rio de Janeiro
New refineries,Changing Design of New Refineries
Sugarcane cogeneration,Cogeracaao
Wind,Eaalica
Solar thermal Industrial,Energia Solar Taarmica
Ethanol displacing domestic gasoline,Ethanol displacing domestic gasoline
Gas to liquid (GTL),GTL
Commercial lighting,Iluminacaao Comercial
Industrial lighting,Iluminacaao Industrial
Wastewater treat. + methane destruction (ind.),Industrial wastewater
Investing in bike lanes,Investing in bike lanes
Investing in bus rapid transit (BRT),Investing in bus rapid transit 
Investing in metro,Investing in metro
Investing in railroad and waterways vs. roads,Investing in railroad and waterways vs. roads
Residential lighting,Laampadas
Avoided deforestation + livestock,livestock low carbon 
Electric motors,Motor
New industrial processes,Novos Processos
Optimizing traffic,Optimizing traffic
Combustion optimization,Otimizacaao da Combustaao
Other energy efficiency measures,Outras Medidas de UEE
Recycling,Reciclagem
Furnace heat recovery system,Recuperacaao  de Calor em  Fornos
Steam recovery systems,Recuperacaao de Vapor
Existing refineries (advanced controls),Reffineries Advanced Control
Existing refineries (incrustation control),Reffineries Fouling Mitigation
Existing refineries (energy integration),Reffineries Heat Integration
Restauration,Reflorestamento 
Refrigerators (MEPS),Refrigeradores 
Wastewater treat. + methane destruction (res. & com.),ResidentialWastewater
Heat recovery systems,Sistemas de Recuperacaao de Calor
Landfill methane destruction,Solid residues
Biomass displacing Other Fuels,Substituicaao por Biomassa
Natural gas displacing other fuels,Substituicaao por GN 
Transmission line Brazil-Venezuela,Transmission line Brazil-Venezuela
Ethanol exports displacing gasoline abroad,Ethanol exports displacing gasoline abroad
Renewable charcoal displacing non renewable charcoal,Renewable charcoal displacing non renewable charcoal
